aic_code,ean_code,name,active_ingredient,form,dosage,atc_code,manufacturer,package_desc,is_otc,requires_prescription
000000168,3046374549902,EFFERALGAN BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Recordati S.p.A.,200 ml sciroppo,true,false
000000169,3017426841459,PARACETAMOLO EG 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Astellas Pharma S.p.A.,150 ml sciroppo,true,false
000000170,2727956878337,PARACETAMOLO EG 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Bristol-Myers Squibb S.r.l.,120 ml sciroppo,true,false
000000171,1878519108833,PARACETAMOLO EG 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Lilly Italia S.p.A.,200 ml sciroppo,true,false
000000172,2587139718702,PARACETAMOLO EG 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Alfasigma S.p.A.,150 ml sciroppo,true,false
000000173,6790874064034,PARACETAMOLO EG 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Janssen-Cilag S.p.A.,120 ml sciroppo,true,false
000000174,6518017046224,PARACETAMOLO EG 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Almirall S.p.A.,200 ml sciroppo,true,false
000000175,6766182512864,PARACETAMOLO EG 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Farmitalia S.r.l.,150 ml sciroppo,true,false
000000176,3004786863375,PARACETAMOLO EG 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Zentiva Italia S.r.l.,120 ml sciroppo,true,false
000000177,3106903311902,PARACETAMOLO EG 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Neopharmed Gentili S.p.A.,200 ml sciroppo,true,false
000000178,0306738302844,PARACETAMOLO TEVA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Boehringer Ingelheim Italia S.p.A.,150 ml sciroppo,true,false
000000179,9599534283641,PARACETAMOLO TEVA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Chiesi Farmaceutici S.p.A.,120 ml sciroppo,true,false
000000180,9268705685668,PARACETAMOLO TEVA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Roche S.p.A.,200 ml sciroppo,true,false
000000181,2873342708662,PARACETAMOLO TEVA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Amgen S.r.l.,150 ml sciroppo,true,false
000000182,6343517518304,PARACETAMOLO TEVA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Chiesi Farmaceutici S.p.A.,120 ml sciroppo,true,false
000000183,9901398373541,PARACETAMOLO TEVA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Angelini Pharma S.r.l.,200 ml sciroppo,true,false
000000184,3173936385460,PARACETAMOLO TEVA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Alfasigma S.p.A.,150 ml sciroppo,true,false
000000185,5445877175355,PARACETAMOLO TEVA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Bracco S.p.A.,120 ml sciroppo,true,false
000000186,9320489964237,PARACETAMOLO TEVA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Sandoz S.p.A.,200 ml sciroppo,true,false
000000187,9378547772522,PANADOL BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,GSK S.p.A.,150 ml sciroppo,true,false
000000188,7280801006231,PANADOL BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Pfizer Italia S.r.l.,120 ml sciroppo,true,false
000000189,0387509977003,PANADOL BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Biogen Italia S.r.l.,200 ml sciroppo,true,false
000000190,0084840862110,PANADOL BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Farmitalia S.r.l.,150 ml sciroppo,true,false
000000191,3984546156797,PANADOL BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Servier Italia S.p.A.,120 ml sciroppo,true,false
000000192,3410166687002,PANADOL BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,AstraZeneca S.p.A.,200 ml sciroppo,true,false
000000193,6591803397403,PANADOL BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Pfizer Italia S.r.l.,150 ml sciroppo,true,false
000000194,4890250392613,PANADOL BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Italfarmaco S.p.A.,120 ml sciroppo,true,false
000000195,3968562185016,PANADOL BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Pierre Fabre Italia S.p.A.,200 ml sciroppo,true,false
000000196,1599965047735,TACHIPIRINA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Zentiva Italia S.r.l.,10 supposte,true,false
000000197,6629619431148,TACHIPIRINA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Roche S.p.A.,6 supposte,true,false
000000198,2655110475415,TACHIPIRINA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,GSK S.p.A.,12 supposte,true,false
000000199,6788861015817,TACHIPIRINA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Bristol-Myers Squibb S.r.l.,10 supposte,true,false
000000200,5604661839822,TACHIPIRINA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Mylan Italia S.r.l.,6 supposte,true,false
000000201,4447212646477,TACHIPIRINA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Pfizer Italia S.r.l.,12 supposte,true,false
000000202,3799371240654,TACHIPIRINA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Astellas Pharma S.p.A.,10 supposte,true,false
000000203,5756924593757,TACHIPIRINA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,MSD Italia S.r.l.,6 supposte,true,false
000000204,5479356465194,TACHIPIRINA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Abbvie S.r.l.,12 supposte,true,false
000000205,8280737416721,TACHIPIRINA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Italfarmaco S.p.A.,10 supposte,true,false
000000206,2661797968867,TACHIPIRINA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Biogen Italia S.r.l.,6 supposte,true,false
000000207,,TACHIPIRINA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Aurobindo Pharma S.r.l.,12 supposte,true,false
000000208,8911352909656,EFFERALGAN 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Pierre Fabre Italia S.p.A.,10 supposte,true,false
000000209,1438889937565,EFFERALGAN 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Alfasigma S.p.A.,6 supposte,true,false
000000210,9825071461120,EFFERALGAN 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Zentiva Italia S.r.l.,12 supposte,true,false
000000211,7387571775142,EFFERALGAN 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Teva Italia S.r.l.,10 supposte,true,false
000000212,1051238282583,EFFERALGAN 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Pierre Fabre Italia S.p.A.,6 supposte,true,false
000000213,3622660937969,EFFERALGAN 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Mylan Italia S.r.l.,12 supposte,true,false
000000214,,EFFERALGAN 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Takeda Italia S.p.A.,10 supposte,true,false
000000215,1918255371471,EFFERALGAN 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Farmitalia S.r.l.,6 supposte,true,false
000000216,5969691557925,EFFERALGAN 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Italfarmaco S.p.A.,12 supposte,true,false
000000217,9125134125281,EFFERALGAN 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Mylan Italia S.r.l.,10 supposte,true,false
000000218,2966278282747,EFFERALGAN 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,GSK S.p.A.,6 supposte,true,false
000000219,7905072368870,EFFERALGAN 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Almirall S.p.A.,12 supposte,true,false
000000220,6772190340436,PARACETAMOLO EG 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Biogen Italia S.r.l.,10 supposte,true,false
000000221,7978819148585,PARACETAMOLO EG 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Teva Italia S.r.l.,6 supposte,true,false
000000222,7836134074517,PARACETAMOLO EG 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Neopharmed Gentili S.p.A.,12 supposte,true,false
000000223,1339596292339,PARACETAMOLO EG 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,EG S.p.A.,10 supposte,true,false
000000224,8498254494812,PARACETAMOLO EG 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,GSK S.p.A.,6 supposte,true,false
000000225,6042232536722,PARACETAMOLO EG 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Lilly Italia S.p.A.,12 supposte,true,false
000000226,6671168457759,PARACETAMOLO EG 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Janssen-Cilag S.p.A.,10 supposte,true,false
000000227,,PARACETAMOLO EG 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Novartis Farma S.p.A.,6 supposte,true,false
000000228,7518636374547,PARACETAMOLO EG 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Sandoz S.p.A.,12 supposte,true,false
000000229,2975001701271,PARACETAMOLO EG 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Alfasigma S.p.A.,10 supposte,true,false
000000230,,PARACETAMOLO EG 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Pierre Fabre Italia S.p.A.,6 supposte,true,false
000000231,2424154152060,PARACETAMOLO EG 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Italfarmaco S.p.A.,12 supposte,true,false
000000232,3611037129380,PARACETAMOLO TEVA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Neopharmed Gentili S.p.A.,10 supposte,true,false
000000233,,PARACETAMOLO TEVA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,Sandoz S.p.A.,6 supposte,true,false
000000234,6271361115540,PARACETAMOLO TEVA 125 mg SUPPOSTE,paracetamolo,supposte,125 mg,N02BE01,GSK S.p.A.,12 supposte,true,false
000000235,2218909275322,PARACETAMOLO TEVA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Almirall S.p.A.,10 supposte,true,false
000000236,7311219656524,PARACETAMOLO TEVA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Servier Italia S.p.A.,6 supposte,true,false
000000237,1389994043897,PARACETAMOLO TEVA 250 mg SUPPOSTE,paracetamolo,supposte,250 mg,N02BE01,Pharmos S.p.A.,12 supposte,true,false
000000238,6403761379189,PARACETAMOLO TEVA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Angelini Pharma S.r.l.,10 supposte,true,false
000000239,5269658271094,PARACETAMOLO TEVA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Pfizer Italia S.r.l.,6 supposte,true,false
000000240,,PARACETAMOLO TEVA 500 mg SUPPOSTE,paracetamolo,supposte,500 mg,N02BE01,Takeda Italia S.p.A.,12 supposte,true,false
000000241,,PARACETAMOLO TEVA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,EG S.p.A.,10 supposte,true,false
000000242,6848666188922,PARACETAMOLO TEVA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,6 supposte,true,false
000000243,1832856914632,PARACETAMOLO TEVA 1000 mg SUPPOSTE,paracetamolo,supposte,1000 mg,N02BE01,EG S.p.A.,12 supposte,true,false
000000244,6179904210205,TACHIPIRINA 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,AstraZeneca S.p.A.,20 bustine,true,false
000000245,5884252410566,TACHIPIRINA 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Chiesi Farmaceutici S.p.A.,10 bustine,true,false
000000246,4917785079250,TACHIPIRINA 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,AstraZeneca S.p.A.,30 bustine,true,false
000000247,1913800030759,TACHIPIRINA 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Mylan Italia S.r.l.,20 bustine,true,false
000000248,2086353654198,TACHIPIRINA 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Aurobindo Pharma S.r.l.,10 bustine,true,false
000000249,0238061744513,TACHIPIRINA 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Amgen S.r.l.,30 bustine,true,false
000000250,5349493759732,EFFERALGAN 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Biogen Italia S.r.l.,20 bustine,true,false
000000251,3206038505068,EFFERALGAN 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Italfarmaco S.p.A.,10 bustine,true,false
000000252,8367024103868,EFFERALGAN 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Aurobindo Pharma S.r.l.,30 bustine,true,false
000000253,1918261990628,EFFERALGAN 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Servier Italia S.p.A.,20 bustine,true,false
000000254,5655743132911,EFFERALGAN 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Roche S.p.A.,10 bustine,true,false
000000255,7756185374742,EFFERALGAN 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Bayer S.p.A.,30 bustine,true,false
000000256,4903521356808,PARACETAMOLO EG 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Italfarmaco S.p.A.,20 bustine,true,false
000000257,2067883171218,PARACETAMOLO EG 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Angelini Pharma S.r.l.,10 bustine,true,false
000000258,3236519941016,PARACETAMOLO EG 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Abbvie S.r.l.,30 bustine,true,false
000000259,7215107029660,PARACETAMOLO EG 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Fidia Farmaceutici S.p.A.,20 bustine,true,false
000000260,,PARACETAMOLO EG 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Pierre Fabre Italia S.p.A.,10 bustine,true,false
000000261,3244720999344,PARACETAMOLO EG 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Fidia Farmaceutici S.p.A.,30 bustine,true,false
000000262,8701462638382,PARACETAMOLO SANDOZ 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Menarini Group,20 bustine,true,false
000000263,5787598564200,PARACETAMOLO SANDOZ 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Bracco S.p.A.,10 bustine,true,false
000000264,0407859321339,PARACETAMOLO SANDOZ 500 mg BUSTINE,paracetamolo,bustina,500 mg,N02BE01,Chiesi Farmaceutici S.p.A.,30 bustine,true,false
000000265,0396522395596,PARACETAMOLO SANDOZ 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Menarini Group,20 bustine,true,false
000000266,5992937842707,PARACETAMOLO SANDOZ 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Novartis Farma S.p.A.,10 bustine,true,false
000000267,9308705932529,PARACETAMOLO SANDOZ 1000 mg BUSTINE,paracetamolo,bustina,1000 mg,N02BE01,Bracco S.p.A.,30 bustine,true,false
000000268,2921851569158,BRUFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Italfarmaco S.p.A.,24 compresse,true,false
000000269,2675289539268,BRUFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Italfarmaco S.p.A.,20 compresse,true,false
000000270,4220969029591,BRUFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Boehringer Ingelheim Italia S.p.A.,30 compresse,true,false
000000271,1725135521570,BRUFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Angelini Pharma S.r.l.,12 compresse,true,false
000000272,3154100676263,BRUFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Fidia Farmaceutici S.p.A.,24 compresse,true,false
000000273,5861793271047,BRUFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Menarini Group,20 compresse,true,false
000000274,1152621815996,BRUFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Ibsa Farmaceutici Italia S.r.l.,30 compresse,true,false
000000275,6296201533681,BRUFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Biogen Italia S.r.l.,12 compresse,true,false
000000276,4431069872059,BRUFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Angelini Pharma S.r.l.,24 compresse,true,false
000000277,4973103241716,BRUFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Italfarmaco S.p.A.,20 compresse,true,false
000000278,7741862565278,BRUFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Teva Italia S.r.l.,30 compresse,true,false
000000279,7434902115860,BRUFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Janssen-Cilag S.p.A.,12 compresse,true,false
000000280,0686879374161,MOMENT 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Teva Italia S.r.l.,24 compresse,true,false
000000281,8992172233206,MOMENT 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Pierre Fabre Italia S.p.A.,20 compresse,true,false
000000282,6329451168683,MOMENT 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Bracco S.p.A.,30 compresse,true,false
000000283,8709986162291,MOMENT 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Janssen-Cilag S.p.A.,12 compresse,true,false
000000284,1191485646797,MOMENT 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Bristol-Myers Squibb S.r.l.,24 compresse,true,false
000000285,2462996065308,MOMENT 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Ibsa Farmaceutici Italia S.r.l.,20 compresse,true,false
000000286,5054447132478,MOMENT 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Bracco S.p.A.,30 compresse,true,false
000000287,6913736785087,MOMENT 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,AstraZeneca S.p.A.,12 compresse,true,false
000000288,8628902330302,MOMENT 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Alfasigma S.p.A.,24 compresse,true,false
000000289,5345786103572,MOMENT 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Bristol-Myers Squibb S.r.l.,20 compresse,true,false
000000290,7985524140605,MOMENT 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,AstraZeneca S.p.A.,30 compresse,true,false
000000291,3333468007227,MOMENT 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Bristol-Myers Squibb S.r.l.,12 compresse,true,false
000000292,3494466574378,NUROFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Italfarmaco S.p.A.,24 compresse,true,false
000000293,9691085899446,NUROFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Sanofi S.r.l.,20 compresse,true,false
000000294,5454443283097,NUROFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Viatris Italia S.r.l.,30 compresse,true,false
000000295,2074466609938,NUROFEN 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Sandoz S.p.A.,12 compresse,true,false
000000296,3875842824179,NUROFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,GSK S.p.A.,24 compresse,true,false
000000297,8251353465547,NUROFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Janssen-Cilag S.p.A.,20 compresse,true,false
000000298,1709991738167,NUROFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Farmitalia S.r.l.,30 compresse,true,false
000000299,0223569725218,NUROFEN 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Fidia Farmaceutici S.p.A.,12 compresse,true,false
000000300,2500743292710,NUROFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,GSK S.p.A.,24 compresse,true,false
000000301,6667600835056,NUROFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Farmitalia S.r.l.,20 compresse,true,false
000000302,0335421689429,NUROFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Pfizer Italia S.r.l.,30 compresse,true,false
000000303,4478985625758,NUROFEN 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Abbvie S.r.l.,12 compresse,true,false
000000304,6033230982154,IBUPROFENE EG 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Teva Italia S.r.l.,24 compresse,true,false
000000305,4890901001673,IBUPROFENE EG 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Mylan Italia S.r.l.,20 compresse,true,false
000000306,4723046184997,IBUPROFENE EG 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,GSK S.p.A.,30 compresse,true,false
000000307,1891411739349,IBUPROFENE EG 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Farmitalia S.r.l.,12 compresse,true,false
000000308,5642087375302,IBUPROFENE EG 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Angelini Pharma S.r.l.,24 compresse,true,false
000000309,1972181143748,IBUPROFENE EG 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Recordati S.p.A.,20 compresse,true,false
000000310,1204556110025,IBUPROFENE EG 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,AstraZeneca S.p.A.,30 compresse,true,false
000000311,7941552166741,IBUPROFENE EG 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Mylan Italia S.r.l.,12 compresse,true,false
000000312,7621202169796,IBUPROFENE EG 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Neopharmed Gentili S.p.A.,24 compresse,true,false
000000313,6590277167017,IBUPROFENE EG 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Recordati S.p.A.,20 compresse,true,false
000000314,0899358891633,IBUPROFENE EG 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Ibsa Farmaceutici Italia S.r.l.,30 compresse,true,false
000000315,6289002877214,IBUPROFENE EG 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Fidia Farmaceutici S.p.A.,12 compresse,true,false
000000316,5408386631774,IBUPROFENE TEVA 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Lilly Italia S.p.A.,24 compresse,true,false
000000317,7751701660880,IBUPROFENE TEVA 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Angelini Pharma S.r.l.,20 compresse,true,false
000000318,9948837550378,IBUPROFENE TEVA 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Sandoz S.p.A.,30 compresse,true,false
000000319,9975711305540,IBUPROFENE TEVA 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Amgen S.r.l.,12 compresse,true,false
000000320,1027261493319,IBUPROFENE TEVA 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Viatris Italia S.r.l.,24 compresse,true,false
000000321,3516091779826,IBUPROFENE TEVA 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Fidia Farmaceutici S.p.A.,20 compresse,true,false
000000322,,IBUPROFENE TEVA 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,EG S.p.A.,30 compresse,true,false
000000323,6978292216994,IBUPROFENE TEVA 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Bracco S.p.A.,12 compresse,true,false
000000324,6693465472266,IBUPROFENE TEVA 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Bristol-Myers Squibb S.r.l.,24 compresse,true,false
000000325,8485833394526,IBUPROFENE TEVA 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,MSD Italia S.r.l.,20 compresse,true,false
000000326,5158799684606,IBUPROFENE TEVA 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Farmitalia S.r.l.,30 compresse,true,false
000000327,6200342442047,IBUPROFENE TEVA 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Takeda Italia S.p.A.,12 compresse,true,false
000000328,0571983863840,IBUPROFENE SANDOZ 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,EG S.p.A.,24 compresse,true,false
000000329,6658004397356,IBUPROFENE SANDOZ 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Janssen-Cilag S.p.A.,20 compresse,true,false
000000330,9334721228162,IBUPROFENE SANDOZ 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Teva Italia S.r.l.,30 compresse,true,false
000000331,8422940572027,IBUPROFENE SANDOZ 200 mg COMPRESSE,ibuprofene,compressa,200 mg,M01AE01,Bracco S.p.A.,12 compresse,true,false
000000332,9479851583283,IBUPROFENE SANDOZ 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Pfizer Italia S.r.l.,24 compresse,true,false
000000333,2688615335557,IBUPROFENE SANDOZ 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Dompé Farmaceutici S.p.A.,20 compresse,true,false
000000334,9878015739939,IBUPROFENE SANDOZ 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Teva Italia S.r.l.,30 compresse,true,false
000000335,5616484085881,IBUPROFENE SANDOZ 400 mg COMPRESSE,ibuprofene,compressa,400 mg,M01AE01,Neopharmed Gentili S.p.A.,12 compresse,true,false
000000336,4358112880130,IBUPROFENE SANDOZ 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Takeda Italia S.p.A.,24 compresse,true,false
000000337,6138612075018,IBUPROFENE SANDOZ 600 mg COMPRESSE,ibuprofene,compressa,600 mg,M01AE01,Pfizer Italia S.r.l.,20 compresse,true,false
